"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
409,"NCT02847169","Clinical Performance of Toric Hydrogel Contact Lenses Following One Week of Daily Wear",,"Completed","Has Results","Astigmatism","Device: filcon IV1 toric lens|Device: ocufilcon D toric lens","Overall Fit Acceptance|Lens Centration|Post-blink Movement|Overall Stability|Corneal Coverage|Lens Orientation in Primary Position of Gaze|Rotational Recovery in Degrees After 60 Seconds","Coopervision, Inc.","All","18 Years to 40 Years   (Adult)","Not Applicable","30","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","EX-MKTG-66","September 2016","November 2016","December 2016","July 28, 2016","May 8, 2017","May 8, 2017","Optometry Clinic, National Autonomous University, Mexico D.F., Mexico",,"https://ClinicalTrials.gov/show/NCT02847169"
410,"NCT02845700","Perceptual Retraining to Reduce Suicide Risk","PRS","Completed","Has Results","Perceptual Olfactory Bias","Behavioral: Perceptual Retraining Treatment|Behavioral: Sham Neutral training","Percent Change in Olfactory Perceptual Bias|Change From Baseline in Mean Clinician Administered PTSD Scale for DSM-5 (CAPS-5) at 1 Month|Change in Suicidal Ideation Assessed Using the Depressive Symptom Inventory - Suicidality Subscale|Change in Beck Suicide Scale Scores From Baseline to 1 Month|Change in the Beck Anxiety Inventory-II From Baseline to 1 Month","Florida State University|United States Department of Defense|Southeast Louisiana Veterans Health Care System","All","18 Years to 60 Years   (Adult)","Not Applicable","13","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","A-16054.13a","September 2015","September 2016","September 2016","July 27, 2016","January 14, 2019","January 14, 2019","Florida State University, Tallahassee, Florida, United States|Southeast Louisiana Veterans Health Care System, New Orleans, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT02845700"
411,"NCT02844998","The Impact and Benefit of Physical Activity on Premature Ejaculation","PE","Completed","Has Results","Premature Ejaculation","Behavioral: physical activity|Drug: dapoxetine 30 mg on demand","Premature Ejaculation Diagnostic Tool (Total Score)|Intravaginal Ejaculatory Latency Time","Ankara Training and Research Hospital","Male","18 Years to 40 Years   (Adult)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","5191","January 2015","May 2016","July 2016","July 26, 2016","September 29, 2017","September 29, 2017",,,"https://ClinicalTrials.gov/show/NCT02844998"
412,"NCT02844543","EYE-TRAC Advance: Technology Verification (ETA-TV) Cohort 1","ETA-TV","Completed","Has Results","Eye-tracking","Device: EYE-SYNC eye-tracking device|Other: SCAT-3|Device: Desktop Eye-Tracker","Changes in the Eye-tracking Score Before and After Practice or Game: Phase Error|Changes in the Eye-tracking Score Before and After Practice or Game: Tangential and Radial Error|Changes in the Eye-tracking Score Before and After Practice or Game: Vertical and Horizontal Gain|Changes in Sport Concussion Assessment Tool (SCAT-3) Standardized Assessment of Concussion (SAC) Score","Stanford University|Brain Trauma Foundation|United States Department of Defense|Food and Drug Administration (FDA)|U.S. Army Medical Research and Development Command|Department of Health and Human Services","All","18 Years to 25 Years   (Adult)","Not Applicable","155","Other|U.S. Fed","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","34662","January 2016","December 2016","December 2016","July 26, 2016","April 30, 2018","May 30, 2018","Stanford University, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT02844543"
413,"NCT02842736","A CLinical Study to Evaluate the Safety And Effectiveness of the CeRene DevIce to Treat HeavY Menstrual Bleeding","CLARITY","Active, not recruiting","Has Results","Menorrhagia","Device: Cerene(R) Cryotherapy Device","Primary Safety Endpoint: Number of Serious Adverse Events and Serious Device-related Adverse Events|Primary Effectiveness Endpoint: Number of Subjects With Reduction in Menstrual Bleeding to PBLAC Score of ≤75","Channel Medsystems","Female","25 Years to 50 Years   (Adult)","Not Applicable","242","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CIP-0101","April 2016","April 2018","March 2020","July 25, 2016","June 6, 2019","June 6, 2019","WomanCare PC, Arlington Heights, Illinois, United States|The Advance Gynecologic Surgery Institute, Naperville, Illinois, United States|Women's Health Advantage, Fort Wayne, Indiana, United States|Basinski LLC, Newburgh, Indiana, United States|Asheville Women's Medical Center, Asheville, North Carolina, United States|Seven Hills Women's Health, Cincinnati, Ohio, United States|Amy Brenner MD and Associates, LLC, Mason, Ohio, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Premier Clinical Research, Spokane, Washington, United States|Allan Centre, Calgary, Alberta, Canada|LaSalle Hospital, Lasalle, Quebec, Canada|Hospital Universitario de la Universidad Autónoma de Nuevo Leon, Monterrey, Nuevo Leon, Mexico","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/36/NCT02842736/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/36/NCT02842736/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02842736"
414,"NCT02842073","An Open Label Trial of Bupropion and Naltrexone for Binge Drinking",,"Completed","Has Results","Binge Drinking","Drug: Naltrexone|Drug: Bupropion","Number of Participants With Treatment-Associated Adverse Events|Number of Participants Discontinuing Subsequent to Defined Intolerance|Number of Binge Drinking Days During Treatment|Final Penn Alcohol Craving Scale (PACS) Score|Mean Number of Drinks/Binge Drinking Day During Treatment","University of North Carolina, Chapel Hill|North Carolina Translational and Clinical Sciences Institute","All","21 Years to 34 Years   (Adult)","Phase 2","12","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16-1370|TTSA018P1","November 1, 2016","December 13, 2017","December 13, 2017","July 22, 2016","December 26, 2018","December 26, 2018","University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/73/NCT02842073/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02842073"
415,"NCT02842060","Development of a Tailored HIV Prevention Intervention for Young Men","myDEx","Completed","Has Results","HIV Infections","Behavioral: myDEx|Behavioral: NTHP","Number of Participants With Change in Number of Risky Sexual Partnerships|Number of Participants With Change in HIV Testing Behavior|Change in Self-efficacy Motivations to Engage in HIV Prevention Behaviors|Changes in Psychological Well-being","University of Pennsylvania|University of Michigan","Male","18 Years to 24 Years   (Adult)","Not Applicable","180","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","R34MH101997","November 2016","May 2017","May 2017","July 22, 2016","July 16, 2019","July 16, 2019","University of Pennsylvania, Philadelphia, Pennsylvania, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/60/NCT02842060/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/60/NCT02842060/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT02842060"
416,"NCT02840916","Laser Acupuncture for Postpartum Weight Retention",,"Completed","Has Results","Postpartum Weight Retention","Procedure: laser acupuncture|Procedure: sham laser acupuncture","Body Mass Index (BMI)|Waist-to-buttock Ratio (WBR)|Body Fat Percentage (BFP)","Chang Gung Memorial Hospital","Female","20 Years to 50 Years   (Adult)","Phase 3","66","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","CMRPG8C0691","January 2014","December 2015","December 2015","July 21, 2016","January 16, 2017","January 16, 2017","Kaohsiung Chang Gung Memorial Hospital, Kaohsiung, Taiwan",,"https://ClinicalTrials.gov/show/NCT02840916"
417,"NCT02837952","A Study of Ibuprofen (IBU) 250mg/APAP 500mg In The Treatment Of Post-Surgical Dental Pain",,"Completed","Has Results","Pain","Drug: FDC IBU/APAP 250 mg/500 mg|Drug: Placebo","Time-weighted Sum of Pain Intensity Difference Scores on 11-Point Numerical Scale From 0 to 24 Hours Post-dose (SPID11 [0-24])|Time-weighted Sum of Pain Intensity Difference Score on 11-Point Numerical Scale (SPID11) From 0 to 8, 6 to 8, 0 to 16, 8 to 16 and 0 to 48 Hours Post-dose|Duration of Relief After First Dose|Time to Onset of ""Meaningful"" Pain Relief After First Dose","Pfizer","All","18 Years to 40 Years   (Adult)","Phase 3","123","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","B5061004|GEMINI MDDP|MDDP","August 31, 2016","February 1, 2017","February 1, 2017","July 20, 2016","March 5, 2018","March 5, 2018","Pharmaceutical Research Associates, Inc., Salt Lake City, Utah, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02837952/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02837952/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02837952"
418,"NCT02829983","Clarithromycin as Adjuvant to Periodontal Debridement",,"Completed","Has Results","Aggressive Periodontitis","Drug: Clarithromycin|Drug: Placebo|Other: One-stage full-mouth ultrasonic debridement (FMUD)","Clinical Attachment Level|Probing Depth","Universidade Estadual Paulista Júlio de Mesquita Filho|Coordenação de Aperfeiçoamento de Pessoal de Nível Superior.","All","18 Years to 35 Years   (Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","NMRBA","March 2014","August 2015","November 2015","July 12, 2016","October 17, 2017","November 21, 2017",,,"https://ClinicalTrials.gov/show/NCT02829983"
419,"NCT02829138","Personalized Nutrition in Young Adults: The Ability of Genetic Information to Motivate Changes in Omega-3 Consumption",,"Completed","Has Results","Health Behaviour|Nutrition Intervention|Impaired Health","Genetic: Genetic information and Omega-3 fat intake|Behavioral: General Nutrition related to Omega-3 fats","Omega-3 Dietary Intake|Change in Blood Triglycerides (Physiological Parameter)|Change in Omega-3 Index in Blood (Physiological Parameter)","University of Guelph","All","18 Years to 25 Years   (Adult)","Not Applicable","57","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","Personalized Nutrition","August 2015","March 2016","March 2016","July 12, 2016","January 9, 2018","February 5, 2018",,,"https://ClinicalTrials.gov/show/NCT02829138"
420,"NCT02828241","A Study to Assess the Efficacy, Safety and Tolerability of DFD-04",,"Completed","Has Results","Rosacea","Drug: DFD-04 Ointment|Other: Placebo Ointment","Change in Inflammatory Lesion Counts|Number of Subjects With Investigator's Global Assessment (IGA) Success|Number of Subjects With Treatment Success by Clinician's Erythema Assessment (CEA) Scale","Dr. Reddy's Laboratories Limited","All","18 Years to 64 Years   (Adult)","Phase 2","61","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","DFD04-CD-002","July 2016","January 2017","November 2017","July 11, 2016","January 23, 2019","January 23, 2019","Site 201, Berlin, Germany|Site 208, Berlin, Germany|Site 202, Bochum, Germany|Site 205, Hamburg, Germany|Site 203, Mahlow, Germany|Site 204, Munster, Germany|Site 207, Potsdam, Germany|Site 206, Wiesbaden, Germany",,"https://ClinicalTrials.gov/show/NCT02828241"
421,"NCT02823431","Effect of Urethral Analgesia on Voiding",,"Completed","Has Results","Urethral Analgesia","Drug: lidocaine gel|Other: Plain aqueous gel","Voiding Efficiency|Detrusor Pressure at Maximum Flow|Number of Participants With Interrupted Urinary Flow Pattern During Micturition|Visual Analog Scale Scores (Measure of Discomfort) After Catheterization","Duke University","Female","18 Years to 60 Years   (Adult)","Not Applicable","23","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","Pro00071589","July 2016","December 2016","December 2016","July 6, 2016","July 27, 2018","July 27, 2018","Duke University Campus, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT02823431"
422,"NCT02823080","Outcome of Cetrotide Therapy for Management of Women at High-risk of Ovarian Hyperstimulation Syndrome",,"Unknown status","Has Results","Infertility","Drug: Cetrorelix","Daily Serum E2 Levels|Daily Maximal Ovarian Diameter|Daily Numerical Pain Visual Analogue Scale Score|Daily Hematocrits Value|Ultrasound Detected Severity Grades of Ascites From Days 0-8|Daily Total Leucocytic Count","Benha University","Female","20 Years to 35 Years   (Adult)","Phase 2|Phase 3","48","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","Benha U|kmsalama","October 2014","April 2017","May 2017","July 6, 2016","January 31, 2017","March 30, 2017","Benha university hospitalا, Benha, El qalubia, Egypt",,"https://ClinicalTrials.gov/show/NCT02823080"
423,"NCT02821819","Random-start Ovarian Stimulation in Egg-donors (ROSE)","ROSE","Terminated","Has Results","Infertility","Other: Random start ovarian stimulation|Drug: Gonadotrophins|Drug: GnRH antagonist|Drug: GnRH agonist","Percentage of Mature Eggs|Fertilization Rate","Instituto Bernabeu","Female","18 Years to 35 Years   (Adult)","Phase 4","15","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IB012016","January 10, 2017","January 12, 2018","January 12, 2018","July 4, 2016","August 19, 2019","August 19, 2019","Instituto Bernabeu, Alicante, Spain","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/19/NCT02821819/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02821819"
424,"NCT02821403","Effects of Blue-light Blocking Lens on Visual Functions",,"Completed","Has Results","Effects of Blue-light Blocking Lens on Visual Functions","Device: clear lens with regular coating|Device: regular coating lens with yellow tint|Device: clear lens with blue-light blocking coating","Contrast Sensitivity as Assessed by Mars Contrast Sensitivity Chart|Color Vision as Assessed by the Farnsworth Munsell 100 Hue Test|Self-assessment of Lens Performance Through Questionnaire","The Hong Kong Polytechnic University","All","18 Years to 55 Years   (Adult)","Not Applicable","80","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Other","HSEARS20140512001-03","July 2014","May 2015","May 2015","July 1, 2016","April 7, 2017","April 7, 2017",,,"https://ClinicalTrials.gov/show/NCT02821403"
425,"NCT02818569","Repurposing Dexmedetomidine as an Orally Administered Sleep Therapeutic",,"Completed","Has Results","Sleep|Insomnia","Drug: Dexmedetomidine|Other: Saline Placebo","Hemodynamic Stability (Phase I)|Polysomnography Sleep Quality (Phase II).|Performance on the Psychomotor Vigilance Task (Phase II)|Performance on the Motor Sequence Task (Phase II)|Subjective Sleep Quality (Phase II)","Massachusetts General Hospital","All","18 Years to 50 Years   (Adult)","Phase 1|Phase 2","15","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","2016P000269","October 2016","June 2018","June 2018","June 29, 2016","October 2, 2019","October 2, 2019","Massachusetts General Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT02818569/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02818569"
426,"NCT02818036","An fMRI Study of Opioid-related Changes in Neural Activity",,"Completed","Has Results","Social Acceptance","Drug: Naltrexone|Drug: Placebo","Bold Oxygen-level Dependent (BOLD) Activations in Prespecified ROIs|Self-reported Feelings of Connection in Response to the Scanner Tasks","Tristen Inagaki|University of Pittsburgh","All","18 Years to 35 Years   (Adult)","Not Applicable","82","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","PRO15010292","August 2016","June 21, 2018","June 21, 2018","June 29, 2016","July 23, 2019","July 23, 2019","University of Pittsburgh, Pittsburgh, Pennsylvania, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/36/NCT02818036/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02818036"
427,"NCT02817828","E4 FREEDOM (Female Response Concerning Efficacy and Safety of Estetrol/Drospirenone as Oral Contraceptive in a Multicentric Study) - EU/Russia Study",,"Completed","Has Results","Contraception","Drug: 15 mg E4/3 mg DRSP","The Number of On-treatment Pregnancies (With + 2-day Window) Per 100 Woman-years of Exposure (Pearl Index) in Subjects Aged 18 to 35 Years, Inclusive, at the Time of Screening|The Number of On-treatment Pregnancies (With 2-day Window) as Assessed by the Method Failure Pearl Index in Subjects Aged 18 to 35 Years, Inclusive, at the Time of Screening|The Number of On-treatment Pregnancies (With + 2-day Window) Per 100 Woman-years of Exposure (Pearl Index) in the Overall Study Population (18-50 Years)|The Number of On-Treatment Pregnancies as Assessed by the Method Failure Pearl Index in the Overall Study Population (18-50 Years)|Number of Subjects With Unscheduled Bleeding/Spotting|Number of Unscheduled Bleeding Days Per Cycle|Number of Unscheduled Spotting Days Per Cycle|Number of Subjects With Absence of Scheduled Bleeding and/or Spotting|Number of Scheduled Bleeding and/or Spotting Days Per Cycle|Number of Subjects With Abnormal Vital Signs|Number of Subjects With Abnormal Laboratory Assessment Results|Number of Subjects With Abnormal Physical Examination Results|Number of Subjects With Abnormal Gynecological Examination Results|Endometrial Biopsy Histology at Screening and End of Treatment|Quality of Life Enjoyment and Satisfaction Questionnaire - Short Form (Q-LES-Q-SF) Results at Baseline and End of Treatment - Percentage Maximum (Sum of First 14 Items)|Quality of Life Enjoyment and Satisfaction Questionnaire - Short Form (Q-LES-Q-SF) Results at Baseline and End of Treatment - Satisfaction With Medicine and Overall Life Satisfaction Over the Past Week|Change From Baseline to End of Treatment in the Score of the Menstrual Distress Questionnaire (MDQ)","Estetra|PRA Health Sciences","Female","18 Years to 50 Years   (Adult)","Phase 3","1577","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","MIT-Es0001-C301","June 2016","April 26, 2018","April 26, 2018","June 29, 2016","October 4, 2019","October 4, 2019","Hopital Saint-Pierre, Bruxelles, Belgium","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/28/NCT02817828/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/28/NCT02817828/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02817828"
428,"NCT02817516","A Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics Study of TAK-828 Escalating Multiple-Doses in Healthy Participants",,"Terminated","Has Results","Healthy Volunteers","Drug: TAK-828|Drug: Placebo","Percentage of Participants Who Experience at Least One Treatment Emergent Adverse Event (TEAE)|Percentage of Participants Who Discontinued the Treatment Due to an Adverse Event (AE)|Percentage of Participants Who Meet the Markedly Abnormal Criteria for Safety Laboratory Tests at Least Once Post-dose|Percentage of Participants Who Meet the Markedly Abnormal Criteria for Vital Sign Measurements at Least Once Post-dose|Percentage of Participants Who Meet the Markedly Abnormal Criteria for Safety 12-lead Electrocardiogram (ECG) at Least Once Post-dose|Cmax: Maximum Observed Plasma Concentration for Free Base of TAK-828 (TAK-828F)|Tmax: Time to Reach the Maximum Plasma Concentration (Cmax) for TAK-828F|AUCtau: Area Under the Plasma Concentration-time Curve From Time 0 to Time Tau Over the Dosing Interval for TAK-828F","Takeda","All","18 Years to 55 Years   (Adult)","Phase 1","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Other","TAK-828-1002|U1111-1177-8105","June 30, 2016","August 22, 2016","August 22, 2016","June 29, 2016","July 17, 2019","July 17, 2019","Austin, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02817516"
429,"NCT02816346","Dose-Finding Study of Lyophilized Shigella Sonnei 53G Challenge Strain",,"Completed","Has Results","Healthy","Biological: Shigella sonnei 53G","Number of Participants With Shigellosis|Geometric Mean Titer (GMT) of Immunoglobulin A (IgA) Antibodies in Stool: Lipopolysaccharide (LPS) Antigen|Geometric Mean Titer (GMT) of Immunoglobulin A (IgA) Antibodies in Stool: Invaplex Antigen|Geometric Mean Titer (GMT) of Immunoglobulin G (IgG) Antibodies in Serum: Lipopolysaccharide (LPS) Antigen|Geometric Mean Titer (GMT) of Immunoglobulin A (IgA) Antibodies in Serum: Lipopolysaccharide (LPS) Antigen|Geometric Mean Titer (GMT) of Immunoglobulin G (IgG) Antibodies in Serum: Invaplex Antigen|Geometric Mean Titer (GMT) of Immunoglobulin A (IgA) Antibodies in Serum: Invaplex Antigen","PATH|United States Department of Defense|Children's Hospital Medical Center, Cincinnati","All","18 Years to 49 Years   (Adult)","Phase 1","56","Other|U.S. Fed","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","VAC-048","September 12, 2016","December 31, 2017","December 31, 2017","June 28, 2016","June 3, 2019","June 3, 2019","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States","""Study Protocol and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/46/NCT02816346/Prot_ICF_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/46/NCT02816346/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02816346"
430,"NCT02815735","Multi-Centre Clinical Evaluation of Two Reusable Soft Contact Lenses",,"Completed","Has Results","Myopia","Device: comfilcon A|Device: lotrafilcon B","Comfort|Comfort During the Day","Coopervision, Inc.","All","18 Years to 34 Years   (Adult)","Not Applicable","85","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","EX-MKTG-68 (VISA-407)","August 2016","January 2017","February 2017","June 28, 2016","May 8, 2017","May 8, 2017","Eyesite, Reading, Berkshire, United Kingdom|Brock and Houlford, Chew Magna, Bristol, United Kingdom|Tempany's Boutique Opticians, Broadstone, Dorset, United Kingdom|Chalmers Opticians, Cardiff, Glamorgan, United Kingdom|Leightons, St Albans, Hertfordshire, United Kingdom|David Gould Opticians, Rawtenstall, Lancashire, United Kingdom|Harrold Opticians, Uxbridge, Middlesex, United Kingdom|Boots Opticians Ltd, Birmingham, Warwickshire, United Kingdom|Visioncare Research Ltd., Farnham, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02815735"
431,"NCT02815644","Empa/Lina FDC Food Effect Study (Japan)",,"Completed","Has Results","Healthy","Drug: empagliflozin/linagliptin FDC","Cmax for Linagliptin|Cmax for Empagliflozin|AUC 0-tz for Linagliptin|AUC 0-tz for Empagliflozin|AUC0-infinity for Linagliptin|AUC0-infinity for Empagliflozin|AUC0-72 for Linagliptin","Boehringer Ingelheim","Male","20 Years to 45 Years   (Adult)","Phase 1","22","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1275.17","July 15, 2016","October 5, 2016","October 5, 2016","June 28, 2016","August 16, 2018","August 16, 2018","SOUSEIKAI Sumida Hospital, Tokyo, Sumida-ku, Japan",,"https://ClinicalTrials.gov/show/NCT02815644"
432,"NCT02814656","Safety, Tolerability and Pharmacokinetics of Multiple Ascending Doses of AZD8871 in Healthy Subjects",,"Completed","Has Results","Chronic Obstructive Pulmonary Disease","Drug: AZD8871|Drug: Placebo","Number of Participants With ≥1 Treatment Emergent Adverse Event in Any Category.|Number of Participants With Clinically Relevant Abnormalities in Recording of Physical Examination.|Number of Participants With Clinically Relevant Abnormalities in Vital Signs (Pulse, Blood Pressure and Body Temperature).|Number of Participants With Clinically Relevant New Findings or Worsening of Pre-existing Findings as Assessed by Haematology.|Number of Participants With Clinically Relevant Abnormalities in 12-lead Safety ECG.|Number of Participants With Clinically Relevant Abnormalities in Telemetry ECG.|Number of Participants With Clinically Relevant New Findings or Worsening of a Pre-existing Findings as Assessed by Clinical Chemistry.|Number of Participants With Clinically Relevant New Findings or Worsening of Pre-existing Findings as Assessed by Urinalysis Report.|Number of Participants With Clinically Relevant Abnormalities in 12-lead dECG (Including High Precision QTc Analysis) Findings.|Observed Maximum Concentration (Cmax) of AZD8871 and Its Metabolites (Single Dose).|Observed Maximum Concentration (Cmax) of AZD8871 and Its Metabolites (Day 16).|Time to Reach Maximum Concentration (Tmax) of AZD8871 and Its Metabolites (Single Dose).|Time to Reach Maximum Concentration (Tmax) of AZD8871 and Its Metabolites (Day 16).|Terminal Half-life (t½λz) of AZD8871 and Its Metabolites (Single Dose).|Terminal Half-life (t½λz) of AZD8871 and Its Metabolites (Day 16).|AUC(0-24) of AZD8871 and Its Metabolites (Single Dose).|AUC(0-24) of AZD8871 and Its Metabolites (Day 16).|AUC of AZD8871 and Its Metabolites (Single Dose).|Apparent Clearance for Parent Drug (CL/F) (Single Dose).|Apparent Clearance for Parent Drug (CL/F) (Day 16).|Apparent Volume of Distribution for Parent Drug at Terminal Phase (Vz/F) (Single Dose).|Accumulation Ratio for Cmax (Rac[Cmax]) for AZD8871 and Its Metabolites (Day 16).|Accumulation Ratio for AUC0-24 (Rac[AUC0-24]) for AZD8871 and Its Metabolites (Day 16).","AstraZeneca|Parexel","Male","18 Years to 55 Years   (Adult)","Phase 1","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","D6640C00003","June 22, 2016","November 28, 2016","November 28, 2016","June 28, 2016","February 15, 2019","February 15, 2019","Research Site, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02814656"
